//////////////////////////////////////////////////////////////////////
crop+affine+minmax / image / 2D / cpu
//////////////////////////////////////////////////////////////////////

         5292 function calls (5287 primitive calls) in 0.061 seconds

   Ordered by: cumulative time
   List reduced from 119 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:123(__get_transform_groups_grid_params)
        5    0.002    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:226(freeze)
      120    0.001    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:8(to_numpy)
       50    0.002    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:11(affine_origin)
      100    0.000    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\args.py:28(arg_to_list)



--- Top by total time ---
         7857 function calls (7852 primitive calls) in 6.685 seconds

   Ordered by: internal time
   List reduced from 125 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    2.577    0.258    3.315    0.331 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
       10    1.228    0.123    2.194    0.219 D:\Brett\code\AugMed\augmed\transforms\intensity\min_max.py:33(transform_intensity)
       30    1.128    0.038    1.128    0.038 {method 'min' of 'torch._C.TensorBase' objects}
        5    0.323    0.065    0.540    0.108 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
       10    0.269    0.027    0.269    0.027 {method 'max' of 'torch._C.TensorBase' objects}
       10    0.255    0.025    0.255    0.025 {built-in method torch.hstack}
       20    0.249    0.012    0.249    0.012 {built-in method torch._C._linalg.linalg_multi_dot}
       35    0.219    0.006    0.219    0.006 {method 'type' of 'torch._C.TensorBase' objects}
       40    0.216    0.005    0.216    0.005 {built-in method torch.stack}
       10    0.087    0.009    0.087    0.009 {built-in method torch.ones}
       10    0.086    0.009    0.086    0.009 {built-in method torch.grid_sampler}
      330    0.008    0.000    0.008    0.000 {built-in method torch.tensor}
       80    0.002    0.000    0.005    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:29(affine_spacing)
       10    0.002    0.000    0.009    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:62(transform_grid)
      575    0.002    0.000    0.010    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:79(to_tensor)
        5    0.002    0.000    0.011    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)
       50    0.002    0.000    0.006    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:135(create_translation)
       50    0.002    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:11(affine_origin)
        5    0.002    0.000    6.655    1.331 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:191(transform_images)
        5    0.002    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:226(freeze)




//////////////////////////////////////////////////////////////////////
crop+affine+elastic+minmax / image / 2D / cpu
//////////////////////////////////////////////////////////////////////

         6432 function calls (6427 primitive calls) in 0.202 seconds

   Ordered by: cumulative time
   List reduced from 141 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.202    0.202 D:\Brett\code\AugMed\scripts\performance\profile.py:393(run)
        5    0.000    0.000    0.201    0.040 D:\Brett\code\AugMed\augmed\transforms\transform.py:248(transform)
    20/15    0.000    0.000    0.189    0.013 D:\Brett\code\AugMed\augmed\utils\args.py:17(wrapper)
        5    0.000    0.000    0.182    0.036 D:\Brett\code\AugMed\augmed\transforms\transform.py:95(transform)
        5    0.001    0.000    0.182    0.036 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:191(transform_images)
        5    0.001    0.000    0.138    0.028 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:40(__backward_transform_points_for_group)
        5    0.086    0.017    0.124    0.025 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:61(backward_transform_points)
        5    0.004    0.001    0.026    0.005 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
        5    0.000    0.000    0.020    0.004 D:\Brett\.env\medical-imaging\lib\site-packages\torch\nn\functional.py:4754(grid_sample)
        5    0.020    0.004    0.020    0.004 {built-in method torch.grid_sampler}
        5    0.000    0.000    0.019    0.004 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:420(freeze)
        5    0.000    0.000    0.019    0.004 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:421(<listcomp>)
       40    0.013    0.000    0.013    0.000 {built-in method torch.stack}
       10    0.000    0.000    0.012    0.001 D:\Brett\.env\medical-imaging\lib\site-packages\torch\functional.py:210(einsum)
       10    0.012    0.001    0.012    0.001 {built-in method torch.einsum}
        5    0.002    0.000    0.011    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:201(control_grid)
        5    0.008    0.002    0.010    0.002 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
        5    0.002    0.000    0.010    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)
      390    0.002    0.000    0.009    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:79(to_tensor)
       15    0.000    0.000    0.009    0.001 D:\Brett\code\AugMed\augmed\transforms\transform.py:217(freeze)
        5    0.000    0.000    0.008    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:111(get_affine_backward_transform)
        5    0.000    0.000    0.007    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:15(__init__)
      255    0.007    0.000    0.007    0.000 {built-in method torch.tensor}
        5    0.000    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:91(__create_transforms)
        5    0.000    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:172(__resolve_affine_chain)
        5    0.001    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:453(freeze)
       10    0.000    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\geometry.py:100(fov_centre)
        5    0.000    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:123(__get_transform_groups_grid_params)
        5    0.001    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:62(transform_grid)
        5    0.002    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:226(freeze)
       15    0.001    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\geometry.py:75(fov)
       30    0.001    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:135(create_translation)
       20    0.003    0.000    0.003    0.000 {method 'min' of 'torch._C.TensorBase' objects}
        5    0.003    0.001    0.003    0.001 {built-in method torch.hstack}
       45    0.001    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:29(affine_spacing)
       95    0.001    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:8(to_numpy)
        5    0.002    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:241(__control_grid_draws)
       10    0.002    0.000    0.002    0.000 {method 'max' of 'torch._C.TensorBase' objects}
       75    0.000    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\args.py:28(arg_to_list)
       10    0.001    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:77(create_rotation)



--- Top by total time ---
         6432 function calls (6427 primitive calls) in 0.202 seconds

   Ordered by: internal time
   List reduced from 141 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.086    0.017    0.124    0.025 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:61(backward_transform_points)
        5    0.020    0.004    0.020    0.004 {built-in method torch.grid_sampler}
       40    0.013    0.000    0.013    0.000 {built-in method torch.stack}
       10    0.012    0.001    0.012    0.001 {built-in method torch.einsum}
        5    0.008    0.002    0.010    0.002 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
      255    0.007    0.000    0.007    0.000 {built-in method torch.tensor}
        5    0.004    0.001    0.026    0.005 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
       20    0.003    0.000    0.003    0.000 {method 'min' of 'torch._C.TensorBase' objects}
        5    0.003    0.001    0.003    0.001 {built-in method torch.hstack}
       10    0.002    0.000    0.002    0.000 {method 'max' of 'torch._C.TensorBase' objects}
        5    0.002    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:241(__control_grid_draws)
        5    0.002    0.000    0.011    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:201(control_grid)
        5    0.002    0.000    0.010    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)
      390    0.002    0.000    0.009    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:79(to_tensor)
        5    0.002    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:226(freeze)
       45    0.001    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:29(affine_spacing)
        5    0.001    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:453(freeze)
       10    0.001    0.000    0.001    0.000 {built-in method torch._C._linalg.linalg_multi_dot}
       30    0.001    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:135(create_translation)
       85    0.001    0.000    0.001    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}




//////////////////////////////////////////////////////////////////////
crop+affine+elastic+minmax / image-labels / 2D / cpu
//////////////////////////////////////////////////////////////////////

         6937 function calls (6932 primitive calls) in 0.284 seconds

   Ordered by: cumulative time
   List reduced from 141 to 40 due to restriction <40>

